1.772: [GC [PSYoungGen: 196608K->6104K(229376K)] 196608K->6112K(753664K), 0.0121502 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2.517: [GC [PSYoungGen: 202712K->11224K(229376K)] 202720K->11232K(753664K), 0.0171648 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
3.250: [GC [PSYoungGen: 207832K->16472K(229376K)] 207840K->16488K(753664K), 0.0205745 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
3.969: [GC [PSYoungGen: 213080K->21368K(229376K)] 213096K->21384K(753664K), 0.0262319 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
4.694: [GC [PSYoungGen: 217976K->26008K(229376K)] 217992K->26032K(753664K), 0.0242576 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
5.419: [GC [PSYoungGen: 222616K->30360K(220160K)] 222640K->30384K(744448K), 0.0349748 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
6.128: [GC [PSYoungGen: 218776K->24928K(213504K)] 218800K->35512K(737792K), 0.0335129 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
7.048: [GC [PSYoungGen: 213344K->19968K(226304K)] 223928K->40184K(750592K), 0.0568832 secs] [Times: user=0.25 sys=0.00, real=0.06 secs] 
8.104: [GC [PSYoungGen: 208384K->15392K(224256K)] 228600K->44656K(748544K), 0.0453941 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
8.865: [GC [PSYoungGen: 203808K->9536K(227328K)] 233072K->48860K(751616K), 0.0264437 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
9.636: [GC [PSYoungGen: 202048K->4992K(197632K)] 241372K->53452K(721920K), 0.0186603 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
10.376: [GC [PSYoungGen: 197504K->5056K(225792K)] 245964K->58484K(750080K), 0.0161523 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
11.097: [GC [PSYoungGen: 195520K->5152K(226304K)] 248948K->63332K(750592K), 0.0150210 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
11.848: [GC [PSYoungGen: 195616K->8384K(227840K)] 253796K->71740K(752128K), 0.0354584 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
12.591: [GC [PSYoungGen: 200896K->5312K(226816K)] 264252K->75004K(751104K), 0.0194341 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
13.325: [GC [PSYoungGen: 197824K->4928K(228864K)] 267516K->79668K(753152K), 0.0208498 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
14.092: [GC [PSYoungGen: 200000K->4224K(228352K)] 274740K->83924K(752640K), 0.0191165 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
15.127: [GC [PSYoungGen: 199296K->5504K(230912K)] 278996K->89468K(755200K), 0.0195457 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
16.179: [GC [PSYoungGen: 204160K->5056K(229888K)] 288124K->94276K(754176K), 0.0242961 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
17.237: [GC [PSYoungGen: 203712K->4352K(232960K)] 292932K->98668K(757248K), 0.0212188 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
18.291: [GC [PSYoungGen: 207104K->5600K(231936K)] 301420K->104276K(756224K), 0.0233630 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
19.327: [GC [PSYoungGen: 208352K->5312K(235008K)] 307028K->109348K(759296K), 0.0258412 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
20.468: [GC [PSYoungGen: 212160K->4544K(233984K)] 316196K->113884K(758272K), 0.0165979 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
21.450: [GC [PSYoungGen: 211392K->5696K(237568K)] 320732K->119556K(761856K), 0.0240026 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
22.521: [GC [PSYoungGen: 217152K->5504K(236032K)] 331012K->124788K(760320K), 0.0193292 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
23.535: [GC [PSYoungGen: 216960K->4640K(239616K)] 336244K->129420K(763904K), 0.0178129 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
24.382: [GC [PSYoungGen: 220704K->5984K(238592K)] 345484K->135396K(762880K), 0.0275211 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
25.217: [GC [PSYoungGen: 222048K->5120K(241664K)] 351460K->140220K(765952K), 0.0234275 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
26.116: [GC [PSYoungGen: 225280K->9280K(240640K)] 360380K->149556K(764928K), 0.0622909 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
27.014: [GC [PSYoungGen: 229440K->4800K(243200K)] 369716K->154364K(767488K), 0.0313605 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
27.869: [GC [PSYoungGen: 228032K->6336K(242176K)] 377596K->160748K(766464K), 0.0294025 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
28.733: [GC [PSYoungGen: 229568K->5728K(244736K)] 383980K->166172K(769024K), 0.0299848 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
29.609: [GC [PSYoungGen: 232544K->5120K(244224K)] 392988K->171300K(768512K), 0.0244914 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
30.494: [GC [PSYoungGen: 231936K->6400K(246784K)] 398116K->177676K(771072K), 0.0238563 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
31.354: [GC [PSYoungGen: 236800K->5536K(245760K)] 408076K->182876K(770048K), 0.0320462 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
32.268: [GC [PSYoungGen: 235936K->5856K(247808K)] 413276K->188756K(772096K), 0.0309712 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
33.176: [GC [PSYoungGen: 238816K->5120K(247296K)] 421716K->193908K(771584K), 0.0292880 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
34.074: [GC [PSYoungGen: 238080K->6720K(248832K)] 426868K->200636K(773120K), 0.0311233 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
34.989: [GC [PSYoungGen: 241728K->5696K(248320K)] 435644K->206012K(772608K), 0.0310285 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
35.911: [GC [PSYoungGen: 240704K->5728K(249856K)] 441020K->211756K(774144K), 0.0298226 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
36.828: [GC [PSYoungGen: 242784K->5152K(249344K)] 448812K->216932K(773632K), 0.0303688 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
37.745: [GC [PSYoungGen: 242208K->6720K(250880K)] 453988K->223692K(775168K), 0.0317335 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
38.681: [GC [PSYoungGen: 245824K->5792K(250368K)] 462796K->229172K(774656K), 0.0279782 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
39.630: [GC [PSYoungGen: 244896K->5696K(251392K)] 468276K->234860K(775680K), 0.0259899 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
40.566: [GC [PSYoungGen: 246336K->5248K(251392K)] 475500K->240124K(775680K), 0.0250294 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
41.492: [GC [PSYoungGen: 245888K->6656K(251904K)] 480764K->246812K(776192K), 0.0268224 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
42.413: [GC [PSYoungGen: 248320K->5600K(251904K)] 488476K->252076K(776192K), 0.0297658 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
43.351: [GC [PSYoungGen: 247264K->6048K(252416K)] 493740K->258140K(776704K), 0.0311315 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
